日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,09-01-07,45-46-46,09-04-10,45-42-47,15-15-17,44-44-48,20-13-18,42-44-45,13-16-16,43-45-46,17-11-13,43-45-43
2,15-20-16,44-45-45,15-11-17,44-41-48,20-16-18,42-41-45,18-12-15,43-43-46,17-13-13,43-44-43,17-12-14,43-46-44
3,20-19-15,42-44-44,20-12-18,42-50-45,18-13-15,43-42-46,13-11-16,43-42-43,17-14-14,43-43-44,19-19-11,49-43-41
4,18-18-14,44-43-43,18-19-15,41-49-44,13-14-16,43-49-43,17-20-13,43-41-44,19-11-11,49-42-41,18-20-12,44-44-42
5,13-17-13,42-41-41,17-20-14,41-48-41,12-11-11,44-50-42,17-19-14,49-50-41,18-12-12,44-41-42,16-17-19,42-41-49
6,11-16-20,44-42-42,11-17-11,44-47-42,18-12-12,42-47-49,16-17-19,44-49-42,16-19-19,42-50-49,17-18-20,47-42-50
7,18-15-19,42-49-49,18-18-12,42-46-49,16-19-19,50-48-50,20-17-20,41-47-47,15-20-18,47-49-50,26-25-25,55-59-55
8,16-14-18,49-50-50,16-15-19,50-54-50,19-20-20,41-45-47,15-16-17,41-48-48,25-27-25,55-58-55,28-26-26,52-60-56
9,20-13-17,41-47-47,20-16-20,41-44-47,15-17-17,41-46-48,15-15-18,56-55-55,28-28-26,52-57-56,26-23-23,60-57-53
10,15-12-16,41-48-48,15-13-17,41-43-48,15-18-18,55-53-55,25-24-25,52-56-56,26-25-23,60-56-53,23-24-24,54-58-54
11,15-11-15,56-55-55,15-14-18,55-52-55,26-25-25,52-54-56,17-23-26,60-53-53,24-26-24,54-55-54,25-21-21,59-55-51
12,25-30-24,52-56-56,25-21-25,52-51-60,28-26-26,60-51-53,26-22-23,53-54-54,25-23-21,59-54-51,25-22-22,59-56-52
13,28-29-23,60-51-57,28-22-30,60-60-57,26-25-27,56-52-58,24-21-24,59-51-51,25-24-22,59-53-52,30-29-29,59-53-59
14,26-28-22,56-52-58,26-29-27,56-57-58,30-26-28,59-59-55,25-30-21,59-52-52,29-21-29,59-52-59,26-30-30,52-54-60
15,30-27-21,59-59-55,30-30-28,52-56-55,25-23-25,57-60-56,25-29-26,54-53-53,26-22-24,52-51-60,24-23-21,60-51-51
16,25-24-28,57-60-56,26-28-25,57-55-56,23-24-26,53-60-53,27-28-23,52-54-54,24-29-21,60-60-51,30-24-22,54-52-52
17,23-23-27,53-57-53,23-27-26,53-59-53,27-21-23,51-59-54,26-25-24,56-51-51,30-30-22,54-59-52,33-31-39,10-09-09
18,27-22-26,51-58-54,24-26-23,51-60-54,25-22-24,57-58-51,22-24-21,54-52-52,36-38-39,09-04-09,31-32-40,07-09-10
19,25-29-29,57-55-51,25-25-24,57-57-59,27-29-21,54-57-52,30-23-22,10-09-09,31-37-40,07-03-10,37-39-37,01-08-07
20,27-28-28,52-54-60,27-24-29,52-58-60,26-26-30,10-06-07,36-36-39,05-10-10,37-36-37,01-02-07,35-40-38,09-07-08
21,26-27-27,10-01-07,26-23-30,10-05-07,36-33-37,05-05-08,35-35-40,01-07-07,35-35-38,09-04-08,31-37-35,01-06-05
22,35-36-36,05-02-08,36-32-37,05-06-08,35-34-38,09-04-05,35-34-35,09-06-06,31-34-33,01-01-05,36-36-34,10-05-04
23,36-35-35,09-09-05,35-31-38,09-03-05,35-31-35,09-03-06,35-33-36,01-03-03,36-33-34,10-02-04,34-33-31,10-04-01
24,35-34-34,09-10-06,35-40-35,09-04-06,35-32-36,01-02-03,31-32-33,10-04-04,34-32-31,10-09-01,39-34-32,09-03-02
25,35-33-33,01-07-03,35-39-36,01-01-03,31-39-33,10-01-04,36-31-34,10-01-01,39-31-32,09-10-02,33-31-39,09-02-09
26,31-32-32,10-08-04,31-38-33,10-02-04,36-40-34,08-08-01,34-40-31,09-02-02,33-40-39,09-07-09,33-32-40,09-01-10
27,36-31-31,08-05-01,36-37-34,08-09-01,34-37-31,09-07-02,39-39-32,10-09-09,33-39-40,09-08-10,45-49-47,15-20-17
28,34-40-40,09-06-02,34-36-31,09-10-02,39-38-32,09-06-09,33-38-39,09-10-10,45-48-47,15-15-17,44-50-48,20-19-18
29,40-39-39,09-03-09,39-35-32,09-07-09,33-35-39,09-05-10,33-37-40,15-17-17,44-47-48,20-16-18,42-47-45,18-18-15
30,33-38-38,,33-34-39,09-08-10,33-36-40,15-14-17,45-46-47,20-18-18,42-46-45,18-13-15,43-48-46,13-17-16
31,33-37-37,,33-33-40,,45-43-47,,44-45-45,18-15-15,,13-14-16,,17-16-13
